PROCESSDATE|TRANSACTIONDATE|TRANSACTIONTYPE|TRANSACTIONID|SOURCE|DESTINATION|USERID|ADJUSTMENTTYPE|PAYMENTTYPE|REASONNAME|ORDERSTATUS|TOTALAMOUNT|PRODUCTCODE|QUANTITY|PRICE|SUBTOTAL|NOOFRECORDSINSUBFILE|COUNTER|ERRORCODE|ERRORMESSAGE
2019-03-09 01:00:33|2019-03-08 20:17:34|3|00001845|236006|1|||1|||2899.00|75689|1|2899.00|2899.00|1|1|1512|Serial number does not exist (or) in invalid status for the product : 75689
2019-03-09 01:00:33|2019-03-08 20:17:34|3|00001845|236006|1|||1|||279.00|65572|1|379.00|279.00|1|2|1512|Serial number does not exist (or) in invalid status for the product : 75689
