КОД ТОВАРУ	ТОВАР
12398	Fly iQ455 Octa Ego Art 2 Black
12399	Fly iQ456 Black
12400	Fly iQ456 White
12401	Fly iQ458 Blue Grey
12402	Fly OD2 Black
12403	Fly TS111 white
12404	GigaByte Gsmart F180 Black
12405	GigaByte Gsmart F280 Black
12406	GigaByte Gsmart MAYA M1 grey
12407	GigaByte Gsmart ROМА R2 PLUS Black
12408	GigaByte Gsmart ROМА R2 PLUS Red
12409	HTC Desire 310 dual sim white
12410	HTC T320e One V grey
12411	Impression ImSmart 1.40 Black
12412	Impression ImSmart A401 Black
12413	Impression ImSmart C471 White
12414	Lenovo A316i Black
12415	Lenovo A319 Black
12416	Lenovo A319 Red
12417	Lenovo A319 White
12418	Lenovo A328 White
12419	Lenovo A369i White
12420	Lenovo A369i Yellow
12421	Lenovo A536 White
12422	Lenovo S660 Gold
12423	Lenovo S850 Blue
12424	Lenovo S850 Pink
12425	LG A390 Black
12426	LG A399 Black
12427	LG D285 L65 III Dual Black
12428	LG D285 L65 III Dual White
12429	LG D295 LFino Black
12430	LG D325 L70 Black
12431	LG D325 L70 White
12432	LG D335 LBello DualSim Black
12433	LG D335 LBello DualSim Black White
12434	LG D335 LBello DualSim White
12435	LG D380 L80 Black
12436	LG D380 L80 White
12437	LG D410 L90 DualSim White
12438	LG D410 L90 White
12439	LG D618 G2 mini DualSim White
12440	LG D724 G3 S DualSim Black-Gold
12441	LG GB230 UA
12442	LG GT540 Titanium
12443	LG GU230 Metal Black
12444	LG H324 Y50 Leon Black Gold
12445	LG H324 Y50 Leon Black Titan
12446	LG H422 Y70 DualSim Black Gold
12447	LG KP320 black
12448	LG P500 black gold
12449	LG P520 black Duos
12450	LG S367 soft grey
12451	LG X135 L60i Black titan
12452	LG X135 L60i Black-Blue
12453	LG X135 L60i White
12454	LG X145 L60 Black
12455	LG X145 L60 White
12456	Magic I600 UA
12457	Magic M200 UA
12458	Magic M500 black уценка
12459	Magic M500 UA
12460	Microsoft 532 White
12461	Microsoft 535 Green
12462	Microsoft 535 White Light
12463	Motorola L6 UA
12464	Nokia 105 Cyan
12465	Nokia 107 red
12466	Nokia 108 red
12467	Nokia 113 black
12468	Nokia 113 cyan
12469	Nokia 1280 blue
12470	Nokia 1280 orchid
12471	Nokia 130 Dual Sim red
12472	Nokia 130 Dual Sim white
12473	Nokia 206 cyan
12474	Nokia 206 white
12475	Nokia 206 yellow
12476	Nokia 210 black
12477	Nokia 2125 CDMA
12478	Nokia 215 black
12479	Nokia 215 green
12480	Nokia 215 white
12481	Nokia 220 red
12482	Nokia 220 white
12483	Nokia 220 yellow
12484	Nokia 225 black
12485	Nokia 225 white
12486	Nokia 225 yellow
12487	Nokia 2330 Black
12488	Nokia 300 pink
12489	Nokia 302 Dark Grey
12490	Nokia 302 Golden Light
12491	Nokia 309 charme white
12492	Nokia 311 dark grey
12493	Nokia 5130с XpressMusic red
12494	Nokia 5130с XpressMusic silver
12495	Nokia 515 black
12496	Nokia 515 white
12497	Nokia 5228 black
12498	Nokia 530 DS d_grey
12499	Nokia 530 DS green
12500	Nokia 530 DS white
12501	Nokia 5300 Black
12502	Nokia 535 DS Black Light
12503	Nokia 535 DS green
12504	Nokia 535 DS orange
12505	Nokia 5610 red
12506	Nokia 6030 UA
12507	Nokia 6060i red
12508	Nokia 6103 UA
12509	Nokia 630 DS black
12510	Nokia 6300 silver black
12511	Nokia 7610 White
12512	Nokia C1-02 black
12513	Nokia C2-01 red
12514	Nokia C2-03 chrome black
12515	Nokia C2-06 Golden BUFF
12516	Nokia C3-00 Black
12517	Nokia C5-03 red
12518	Nokia C5-06 graphite black
12519	Nokia E65-1 mocca/silver
12520	Nokia X DS black
12521	Nokia X DS green
12522	Nokia X DS white
12523	Nokia X2 DS br_green
12524	Nokia X2-00 Red
12525	Nokia X3 pink
12526	Nokia XL DS Yellow
12527	Nomi i180 Black
12528	Nomi i180 White
12529	Qumo Quest 402 Black
12530	Qumo Quest 452 Black
12531	Qumo Quest 503 Black
12532	Samsung A300H White
12533	Samsung A300H UABlack
12534	Samsung A500H Black
12535	Samsung B310E Blue
12536	Samsung B310E Piton White
12537	Samsung B310E White
12538	Samsung B312E Black
12539	Samsung B312E Brio Black
12540	Samsung B312E Brio White
12541	Samsung B312E White
12542	Samsung B360E Brown
12543	Samsung B360E White
